"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","274.4","1,380.9","13.8","70.9","580.2","4.1","1.1","301.6"
"Bijan Robinson","ATL","RB2","289.5","1,426.4","9.5","79.6","737.9","3.5","1.8","290.5"
"Jonathan Taylor","IND","RB3","327.4","1,509.4","12.9","43.8","326.7","1.4","1.7","265.9"
"Christian McCaffrey","SF","RB4","276.5","1,122.0","9.2","79.3","699.8","4.7","1.1","263.1"
"Derrick Henry","BAL","RB5","314.0","1,568.1","13.4","17.8","172.1","0.7","1.7","255.1"
"De'Von Achane","MIA","RB6","246.8","1,252.0","6.4","70.2","527.3","4.3","1.0","240.1"
"James Cook III","BUF","RB7","287.3","1,403.5","10.3","33.3","281.7","1.9","2.4","236.9"
"Puka Nacua","LAR","WR1","13.6","95.6","1.4","122.3","1,617.1","9.3","1.0","233.2"
"Saquon Barkley","PHI","RB8","295.8","1,310.8","8.2","42.0","330.1","2.1","1.0","224.0"
"Jaxon Smith-Njigba","SEA","WR2","5.5","30.4","0.1","114.6","1,621.9","9.8","1.1","222.4"
"Josh Jacobs","GB","RB9","288.7","1,161.1","12.0","35.7","284.1","1.2","1.3","221.2"
"Ashton Jeanty","LV","RB10","283.7","1,089.8","8.0","59.0","414.1","3.3","1.1","216.4"
"Ja'Marr Chase","CIN","WR3","3.0","17.0","0.0","121.2","1,510.2","10.6","1.0","214.4"
"Chase Brown","CIN","RB11","239.4","1,039.7","7.5","64.4","430.1","3.9","1.1","213.2"
"Omarion Hampton","LAC","RB12","249.8","1,075.9","10.0","51.6","352.6","2.0","1.1","212.2"
"Kyren Williams","LAR","RB13","244.7","1,138.7","10.2","33.5","239.6","2.2","1.6","209.5"
"Kenneth Walker III","KC","RB14","257.7","1,168.1","8.3","45.1","346.9","1.2","0.9","207.0"
"Breece Hall","NYJ","RB15","259.3","1,159.7","6.5","47.4","411.3","2.2","1.7","206.2"
"Amon-Ra St. Brown","DET","WR4","3.1","11.8","0.0","117.0","1,390.3","10.5","0.4","202.4"
"Jeremiyah Love","ARI","RB16","238.6","1,078.7","7.2","54.4","419.5","2.1","2.2","201.3"
"Javonte Williams","DAL","RB17","257.5","1,167.4","10.4","29.4","167.9","1.2","1.6","199.5"
"Cam Skattebo","NYG","RB18","243.5","1,015.9","8.1","45.8","364.0","2.5","1.6","198.5"
"Travis Etienne Jr.","NO","RB19","251.9","1,063.1","5.3","45.2","353.7","3.0","1.0","189.9"
"Bucky Irving","TB","RB20","262.2","1,043.7","6.3","40.6","342.4","2.3","1.0","188.0"
"D'Andre Swift","CHI","RB21","233.1","1,053.1","8.0","34.8","299.8","1.0","1.0","187.9"
"Drake London","ATL","WR5","0.0","0.0","0.0","101.6","1,330.9","9.4","1.0","187.8"
"Quinshon Judkins","CLE","RB22","289.4","1,104.3","8.1","31.3","218.3","0.6","0.9","182.4"
"Bhayshul Tuten","JAC","RB23","243.0","992.5","8.2","29.2","221.6","2.1","2.2","179.2"
"CeeDee Lamb","DAL","WR6","2.4","12.5","0.0","97.7","1,298.2","7.5","0.3","175.8"
"Rashee Rice","KC","WR7","5.4","25.5","0.9","98.7","1,099.2","9.7","0.6","174.5"
"Justin Jefferson","MIN","WR8","1.3","5.5","0.0","98.6","1,301.4","6.8","0.3","170.9"
"George Pickens","DAL","WR9","0.3","-0.3","0.0","82.7","1,202.4","8.4","0.5","169.7"
"A.J. Brown","NE","WR10","0.0","0.0","0.0","88.7","1,234.3","7.6","0.3","168.7"
"Nico Collins","HOU","WR11","1.4","8.3","0.4","82.6","1,212.7","7.3","0.8","166.1"
"TreVeyon Henderson","NE","RB24","190.1","885.9","7.3","37.7","261.5","1.2","0.9","163.9"
"Chris Olave","NO","WR12","0.3","0.0","0.0","94.2","1,169.4","7.8","0.3","163.1"
"Zay Flowers","BAL","WR13","9.9","58.8","0.5","81.9","1,167.8","6.5","1.5","161.6"
"David Montgomery","HOU","RB25","225.5","936.7","7.3","30.5","226.3","0.5","1.0","161.5"
"Jadarian Price","SEA","RB26","215.2","911.8","7.6","26.0","220.1","1.1","2.0","161.5"
"Tony Pollard","TEN","RB27","238.7","1,045.3","5.9","31.9","207.7","0.5","2.1","159.2"
"J.K. Dobbins","DEN","RB28","226.6","1,060.1","6.6","17.7","94.2","0.6","0.7","157.0"
"Davante Adams","LAR","WR14","0.0","0.0","0.0","68.5","926.2","10.2","0.2","153.6"
"Rico Dowdle","PIT","RB29","208.2","899.0","6.2","31.4","220.3","1.0","1.0","153.1"
"Jameson Williams","DET","WR15","7.3","42.0","0.5","64.4","1,064.6","6.6","0.2","152.8"
"Chuba Hubbard","CAR","RB30","208.8","841.5","5.4","36.3","259.6","1.8","1.5","150.8"
"Tee Higgins","CIN","WR16","0.0","0.0","0.0","70.7","964.6","9.1","0.2","150.6"
"Trey McBride","ARI","TE1","0.0","0.0","0.0","113.6","1,099.4","6.9","0.2","150.6"
"Jaylen Warren","PIT","RB31","188.0","825.6","4.8","42.0","320.6","1.5","0.9","150.5"
"Rhamondre Stevenson","NE","RB32","168.8","733.2","6.5","36.8","309.8","1.6","2.1","149.1"
"Tetairoa McMillan","CAR","WR17","0.0","0.0","0.0","78.3","1,121.9","6.4","0.9","148.9"
"Malik Nabers","NYG","WR18","2.7","7.5","0.0","75.4","1,014.2","7.9","0.3","148.9"
"DeVonta Smith","PHI","WR19","0.0","0.0","0.0","87.4","1,134.0","6.0","0.3","148.8"
"Garrett Wilson","NYJ","WR20","1.1","4.3","0.0","97.8","1,106.5","6.4","1.1","147.8"
"Brock Bowers","LV","TE2","0.0","0.0","0.0","96.4","1,024.8","7.5","0.2","147.2"
"Rome Odunze","CHI","WR21","0.3","1.3","0.0","63.4","980.2","8.2","0.3","146.5"
"Emeka Egbuka","TB","WR22","1.4","7.3","0.0","66.8","1,013.4","7.1","0.3","144.1"
"Alec Pierce","IND","WR23","0.0","0.0","0.0","64.0","1,048.9","6.5","0.3","143.2"
"Terry McLaurin","WAS","WR24","0.3","0.3","0.0","71.6","982.6","7.6","0.3","143.2"
"DJ Moore","BUF","WR25","10.0","54.0","0.5","68.7","896.3","6.7","0.8","136.3"
"Ladd McConkey","LAC","WR26","0.0","0.0","0.0","76.9","976.9","6.4","0.3","135.6"
"Courtland Sutton","DEN","WR27","0.0","0.0","0.0","69.4","902.8","7.5","0.2","135.0"
"Christian Watson","GB","WR28","1.7","8.0","0.0","56.0","901.6","7.4","0.3","134.9"
"Luther Burden III","CHI","WR29","7.7","38.2","0.1","72.6","957.9","5.7","0.3","134.0"
"Aaron Jones Sr.","MIN","RB33","171.7","730.2","3.9","41.0","303.3","1.7","1.6","133.8"
"Kyle Monangai","CHI","RB34","191.0","817.0","5.2","22.8","192.7","0.4","0.7","133.0"
"RJ Harvey","DEN","RB35","134.1","508.9","4.6","46.6","343.9","3.5","0.8","132.6"
"Jacory Croskey-Merritt","WAS","RB36","182.3","821.0","7.5","11.2","79.6","0.2","1.7","132.4"
"Mike Evans","SF","WR30","0.0","0.0","0.0","65.1","914.7","6.7","0.2","131.4"
"Jaylen Waddle","DEN","WR31","1.7","12.4","0.0","72.9","960.3","5.7","0.3","130.8"
"DK Metcalf","PIT","WR32","0.7","3.3","0.3","64.2","923.8","6.0","0.2","130.5"
"Colston Loveland","CHI","TE3","0.0","0.0","0.0","77.3","907.3","6.7","0.2","130.4"
"Marvin Harrison Jr.","ARI","WR33","0.0","0.0","0.0","67.2","945.3","6.0","0.3","130.0"
"Rachaad White","WAS","RB37","140.9","621.5","5.4","40.3","272.7","1.6","0.8","129.7"
"Blake Corum","LAR","RB38","163.1","780.6","6.3","10.9","73.7","0.2","0.7","122.8"
"Brian Thomas Jr.","JAC","WR34","2.7","18.0","0.4","55.7","837.7","5.3","0.2","119.6"
"Tyler Warren","IND","TE4","0.0","0.0","0.0","82.9","870.5","5.4","0.3","118.8"
"Parker Washington","JAC","WR35","5.3","13.6","0.1","60.9","844.0","5.4","0.4","117.8"
"Jordan Mason","MIN","RB39","171.0","784.8","5.5","14.5","75.8","0.1","1.0","117.6"
"Kenny Gainwell","TB","RB40","110.7","485.2","3.8","49.7","352.0","2.0","0.9","116.8"
"Kyle Pitts Sr.","ATL","TE5","0.0","0.0","0.0","79.4","883.1","4.7","0.1","116.4"
"Quentin Johnston","LAC","WR36","1.7","6.3","0.0","53.6","755.9","6.9","0.7","116.1"
"Jakobi Meyers","JAC","WR37","4.7","23.0","0.1","70.6","814.8","5.4","0.8","115.1"
"Carnell Tate","TEN","WR38","0.7","3.0","0.0","66.3","902.7","4.5","1.4","115.1"
"Dallas Goedert","PHI","TE6","0.0","0.0","0.0","65.5","688.6","7.5","0.2","113.7"
"Jayden Reed","GB","WR39","12.0","86.6","0.1","62.8","757.8","4.8","0.4","113.3"
"Sam LaPorta","DET","TE7","0.0","0.0","0.0","69.8","809.3","5.5","0.2","113.2"
"Jordan Addison","MIN","WR40","2.7","37.1","0.4","54.5","747.3","5.4","0.2","112.6"
"Harold Fannin Jr.","CLE","TE8","0.0","0.0","0.0","78.7","815.8","5.4","0.8","112.3"
"Xavier Worthy","KC","WR41","15.5","99.3","0.9","55.1","721.8","4.2","0.2","112.1"
"Chris Godwin Jr.","TB","WR42","0.3","0.3","0.0","70.1","802.7","5.2","0.3","110.9"
"Tucker Kraft","GB","TE9","0.0","0.0","0.0","58.0","749.0","6.0","0.2","110.4"
"Michael Pittman Jr.","PIT","WR43","0.0","0.0","0.0","81.1","811.7","5.0","0.3","110.3"
"Jordyn Tyson","NO","WR44","0.7","3.3","0.0","63.2","856.5","4.3","1.3","109.2"
"Travis Kelce","KC","TE10","0.0","0.0","0.0","76.9","784.4","5.2","0.3","108.8"
"Makai Lemon","PHI","WR45","1.5","7.0","0.0","58.3","821.3","4.7","1.3","108.6"
"Jonathon Brooks","CAR","RB41","154.8","623.7","3.9","25.1","192.9","1.1","1.4","108.4"
"Michael Wilson","ARI","WR46","0.0","0.7","0.0","66.3","810.6","4.4","0.2","107.2"
"Mark Andrews","BAL","TE11","0.0","0.0","0.0","58.3","607.6","7.7","0.3","106.5"
"Romeo Doubs","NE","WR47","0.0","0.0","0.0","57.8","751.3","5.3","0.3","106.5"
"Wan'Dale Robinson","TEN","WR48","2.0","9.5","0.1","83.0","833.8","3.6","0.3","105.9"
"George Kittle","SF","TE12","0.0","0.0","0.0","62.0","720.6","5.6","0.2","105.2"
"Calvin Ridley","TEN","WR49","4.5","27.5","0.6","48.1","784.9","3.3","0.2","104.3"
"Zach Charbonnet","SEA","RB42","130.5","532.3","5.6","19.8","147.0","0.5","0.7","103.2"
"Ricky Pearsall","SF","WR50","2.8","14.2","0.1","57.8","800.6","3.6","0.3","102.9"
"Dalton Kincaid","BUF","TE13","0.0","0.0","0.0","56.8","701.6","5.5","0.2","102.6"
"Isaiah Likely","NYG","TE14","0.0","0.0","0.0","62.9","746.2","5.1","1.3","102.4"
