"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","113.6","1,099.4","6.9","0.2","150.6"
"Brock Bowers","LV","96.4","1,024.8","7.5","0.2","147.2"
"Colston Loveland","CHI","77.3","907.3","6.7","0.2","130.4"
"Tyler Warren","IND","82.9","870.5","5.4","0.3","118.8"
"Kyle Pitts Sr.","ATL","79.4","883.1","4.7","0.1","116.4"
"Dallas Goedert","PHI","65.5","688.6","7.5","0.2","113.7"
"Sam LaPorta","DET","69.8","809.3","5.5","0.2","113.2"
"Harold Fannin Jr.","CLE","78.7","815.8","5.4","0.8","112.3"
"Tucker Kraft","GB","58.0","749.0","6.0","0.2","110.4"
"Travis Kelce","KC","76.9","784.4","5.2","0.3","108.8"
"Mark Andrews","BAL","58.3","607.6","7.7","0.3","106.5"
"George Kittle","SF","62.0","720.6","5.6","0.2","105.2"
"Dalton Kincaid","BUF","56.8","701.6","5.5","0.2","102.6"
"Isaiah Likely","NYG","62.9","746.2","5.1","1.3","102.4"
"Hunter Henry","NE","56.3","652.0","5.4","0.1","97.4"
"Jake Ferguson","DAL","74.1","607.3","6.0","1.4","93.6"
"Brenton Strange","JAC","60.0","658.0","4.3","0.2","91.4"
"Juwan Johnson","NO","64.5","726.2","3.2","1.3","89.5"
"Dalton Schultz","HOU","65.9","630.0","3.4","0.2","82.8"
"Pat Freiermuth","PIT","53.0","557.9","4.3","0.2","80.9"
"AJ Barner","SEA","50.6","486.2","5.2","0.2","79.4"
"Kenyon Sadiq","NYJ","51.1","558.0","4.1","0.7","79.0"
"Greg Dulcich","MIA","53.4","606.3","3.2","1.2","77.3"
"T.J. Hockenson","MIN","63.6","573.7","3.3","0.2","76.6"
"Oronde Gadsden II","LAC","45.5","563.9","3.6","0.7","76.6"
"Cade Otton","TB","56.0","570.0","3.2","0.1","75.7"
"Terrance Ferguson","LAR","35.1","485.4","4.3","0.1","74.2"
"Chig Okonkwo","WAS","53.9","567.2","2.7","0.1","72.9"
"Mike Gesicki","CIN","44.0","461.1","3.9","0.1","69.1"
"Evan Engram","DEN","53.5","471.8","2.7","0.1","63.2"
"Gunnar Helm","TEN","48.9","443.1","3.1","0.2","62.5"
"David Njoku","LAC","38.5","358.2","4.0","0.1","59.9"
"Colby Parkinson","LAR","34.3","354.4","3.9","0.6","57.6"
"Mason Taylor","NYJ","44.5","390.8","2.4","0.1","53.2"
"Dawson Knox","BUF","28.7","328.7","2.9","0.1","50.3"
"Michael Mayer","LV","40.0","377.3","2.1","0.1","50.1"
"Theo Johnson","NYG","27.7","315.4","2.9","0.1","48.7"
"Tyler Higbee","LAR","26.1","306.5","2.4","0.0","45.1"
"Darnell Washington","PIT","30.7","328.0","2.0","0.6","43.3"
"Cole Kmet","CHI","25.9","271.4","2.2","0.1","40.4"
"Ja'Tavion Sanders","CAR","29.3","263.9","2.0","0.1","38.3"
"Tommy Tremble","CAR","26.5","253.1","2.0","0.1","36.9"
"Noah Fant","NO","30.4","285.3","1.7","1.6","35.3"
"Will Kacmarek","MIA","26.5","250.7","1.9","0.6","35.2"
"Jake Tonges","SF","23.7","250.7","1.5","0.1","34.2"
"Josh Oliver","MIN","18.6","193.6","2.4","0.1","33.5"
"Austin Hooper","ATL","22.5","237.0","1.6","0.1","33.2"
"Daniel Bellinger","TEN","19.3","222.3","1.7","0.0","32.6"
"Erick All Jr.","CIN","26.1","228.3","1.6","0.1","32.4"
"Charlie Kolar","LAC","17.8","205.2","1.9","0.0","31.6"
"Brock Wright","DET","19.4","174.6","2.3","0.0","31.3"
"Eli Stowers","PHI","22.7","232.3","1.5","0.6","31.2"
"Noah Gray","KC","21.0","211.3","1.5","0.1","29.8"
"Luke Musgrave","GB","23.0","223.1","1.2","0.1","29.6"
"Elijah Arroyo","SEA","19.0","198.7","1.6","0.1","29.1"
"Adam Trautman","DEN","19.4","194.0","1.5","0.0","28.2"
"Eli Raridon","NE","18.8","195.8","1.5","0.6","27.7"
"Ben Sims","MIA","21.2","201.1","1.2","0.0","27.5"
"Davis Allen","LAR","16.9","157.3","1.9","0.0","26.9"
"John Bates","WAS","18.4","173.7","1.6","0.6","25.5"
"Marlin Klein","HOU","19.5","193.7","1.1","0.5","25.0"
"Elijah Higgins","ARI","21.9","196.2","0.8","0.6","23.5"
"Mitchell Evans","CAR","15.0","138.1","1.5","0.1","22.5"
"Nick Vannett","LAR","11.0","103.0","2.0","0.0","22.3"
"Connor Heyward","LV","14.0","103.0","2.0","0.0","22.3"
"Nate Boerkircher","JAC","14.9","155.8","1.3","0.5","22.2"
"Jeremy Ruckert","NYJ","19.7","145.8","1.3","0.0","22.1"
"Jackson Hawes","BUF","10.6","115.1","1.4","0.0","20.1"
"Grant Calcaterra","PHI","12.8","132.5","1.1","0.0","20.0"
"Ben Sinnott","WAS","11.8","116.3","1.4","0.0","19.9"
"Nate Adkins","DEN","11.9","88.3","1.8","0.0","19.8"
"Drew Sample","CIN","15.1","123.1","1.1","0.1","18.6"
"Will Mallory","IND","11.0","125.0","1.0","0.0","18.5"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","18.3"
"Foster Moreau","HOU","9.3","105.7","1.3","0.0","18.3"
"Cade Stover","HOU","15.3","128.1","0.9","0.1","17.9"
"Hayden Rucci","SF","12.0","118.0","1.0","0.0","17.8"
"Luke Schoonmaker","DAL","13.2","121.7","0.9","0.0","17.8"
"Tanner Conner","NYG","10.0","113.0","1.0","0.0","17.3"
"Teagan Quitoriano","ARI","12.0","108.0","1.0","0.0","16.8"
"Zaire Mitchell-Paden","NO","11.0","107.0","1.0","0.0","16.7"
"Dallen Bentley","DEN","12.0","105.0","1.0","0.0","16.5"
"Charlie Woerner","ATL","14.5","127.4","0.6","0.0","16.3"
"Tanner Hudson","CIN","13.1","110.2","0.9","0.1","16.1"
"Mo Alie-Cox","IND","10.9","110.7","0.9","0.1","16.1"
"Thomas Fidone II","NYG","10.0","101.0","1.0","0.0","16.1"
