"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jahmyr Gibbs","DET","274.4","1,380.9","13.8","70.9","580.2","4.1","1.1","301.6"
"Bijan Robinson","ATL","289.5","1,426.4","9.5","79.6","737.9","3.5","1.8","290.5"
"Jonathan Taylor","IND","327.4","1,509.4","12.9","43.8","326.7","1.4","1.7","265.9"
"Christian McCaffrey","SF","276.5","1,122.0","9.2","79.3","699.8","4.7","1.1","263.1"
"Derrick Henry","BAL","314.0","1,568.1","13.4","17.8","172.1","0.7","1.7","255.1"
"De'Von Achane","MIA","246.8","1,252.0","6.4","70.2","527.3","4.3","1.0","240.1"
"James Cook III","BUF","287.3","1,403.5","10.3","33.3","281.7","1.9","2.4","236.9"
"Saquon Barkley","PHI","295.8","1,310.8","8.2","42.0","330.1","2.1","1.0","224.0"
"Josh Jacobs","GB","288.7","1,161.1","12.0","35.7","284.1","1.2","1.3","221.2"
"Ashton Jeanty","LV","283.7","1,089.8","8.0","59.0","414.1","3.3","1.1","216.4"
"Chase Brown","CIN","239.4","1,039.7","7.5","64.4","430.1","3.9","1.1","213.2"
"Omarion Hampton","LAC","249.8","1,075.9","10.0","51.6","352.6","2.0","1.1","212.2"
"Kyren Williams","LAR","244.7","1,138.7","10.2","33.5","239.6","2.2","1.6","209.5"
"Kenneth Walker III","KC","257.7","1,168.1","8.3","45.1","346.9","1.2","0.9","207.0"
"Breece Hall","NYJ","259.3","1,159.7","6.5","47.4","411.3","2.2","1.7","206.2"
"Jeremiyah Love","ARI","238.6","1,078.7","7.2","54.4","419.5","2.1","2.2","201.3"
"Javonte Williams","DAL","257.5","1,167.4","10.4","29.4","167.9","1.2","1.6","199.5"
"Cam Skattebo","NYG","243.5","1,015.9","8.1","45.8","364.0","2.5","1.6","198.5"
"Travis Etienne Jr.","NO","251.9","1,063.1","5.3","45.2","353.7","3.0","1.0","189.9"
"Bucky Irving","TB","262.2","1,043.7","6.3","40.6","342.4","2.3","1.0","188.0"
"D'Andre Swift","CHI","233.1","1,053.1","8.0","34.8","299.8","1.0","1.0","187.9"
"Quinshon Judkins","CLE","289.4","1,104.3","8.1","31.3","218.3","0.6","0.9","182.4"
"Bhayshul Tuten","JAC","243.0","992.5","8.2","29.2","221.6","2.1","2.2","179.2"
"TreVeyon Henderson","NE","190.1","885.9","7.3","37.7","261.5","1.2","0.9","163.9"
"David Montgomery","HOU","225.5","936.7","7.3","30.5","226.3","0.5","1.0","161.5"
"Jadarian Price","SEA","215.2","911.8","7.6","26.0","220.1","1.1","2.0","161.5"
"Tony Pollard","TEN","238.7","1,045.3","5.9","31.9","207.7","0.5","2.1","159.2"
"J.K. Dobbins","DEN","226.6","1,060.1","6.6","17.7","94.2","0.6","0.7","157.0"
"Rico Dowdle","PIT","208.2","899.0","6.2","31.4","220.3","1.0","1.0","153.1"
"Chuba Hubbard","CAR","208.8","841.5","5.4","36.3","259.6","1.8","1.5","150.8"
"Jaylen Warren","PIT","188.0","825.6","4.8","42.0","320.6","1.5","0.9","150.5"
"Rhamondre Stevenson","NE","168.8","733.2","6.5","36.8","309.8","1.6","2.1","149.1"
"Aaron Jones Sr.","MIN","171.7","730.2","3.9","41.0","303.3","1.7","1.6","133.8"
"Kyle Monangai","CHI","191.0","817.0","5.2","22.8","192.7","0.4","0.7","133.0"
"RJ Harvey","DEN","134.1","508.9","4.6","46.6","343.9","3.5","0.8","132.6"
"Jacory Croskey-Merritt","WAS","182.3","821.0","7.5","11.2","79.6","0.2","1.7","132.4"
"Rachaad White","WAS","140.9","621.5","5.4","40.3","272.7","1.6","0.8","129.7"
"Blake Corum","LAR","163.1","780.6","6.3","10.9","73.7","0.2","0.7","122.8"
"Jordan Mason","MIN","171.0","784.8","5.5","14.5","75.8","0.1","1.0","117.6"
"Kenny Gainwell","TB","110.7","485.2","3.8","49.7","352.0","2.0","0.9","116.8"
"Jonathon Brooks","CAR","154.8","623.7","3.9","25.1","192.9","1.1","1.4","108.4"
"Zach Charbonnet","SEA","130.5","532.3","5.6","19.8","147.0","0.5","0.7","103.2"
"Woody Marks","HOU","142.6","555.4","2.7","24.1","197.8","1.8","0.8","100.3"
"Isiah Pacheco","DET","139.2","581.1","3.5","21.1","136.1","0.6","0.8","94.8"
"Tyrone Tracy Jr.","NYG","118.3","502.7","2.5","26.3","203.3","1.2","0.8","91.0"
"Tyjae Spears","TEN","92.1","368.0","2.9","45.9","305.2","1.2","0.7","90.5"
"Chris Rodriguez Jr.","JAC","133.8","553.1","5.1","5.4","42.5","0.1","0.6","89.4"
"Alvin Kamara","NO","116.6","454.6","2.1","34.6","233.6","1.5","0.6","88.9"
"Brian Robinson Jr.","ATL","121.8","530.0","4.2","7.6","48.1","0.1","0.7","82.2"
"Justice Hill","BAL","56.4","273.5","2.2","34.7","303.0","1.8","0.2","81.3"
"Tyler Allgeier","ARI","111.7","428.0","4.2","17.0","108.5","0.2","0.6","78.5"
"Braelon Allen","NYJ","106.0","427.9","4.3","12.9","93.7","0.7","1.7","78.5"
"AJ Dillon","CAR","123.0","509.0","3.0","16.0","136.0","1.0","5.0","78.5"
"Samaje Perine","CIN","98.9","443.2","3.7","17.9","135.1","0.4","1.9","78.3"
"Jordan James","SF","102.3","416.5","3.2","16.1","146.8","0.7","1.2","77.1"
"Dylan Sampson","CLE","73.5","254.1","1.3","35.9","284.6","2.1","1.2","72.0"
"Ty Johnson","BUF","51.4","222.1","2.1","22.8","241.0","2.2","0.2","71.2"
"Kaelon Black","SF","98.1","387.6","3.2","8.6","78.9","0.6","1.1","67.0"
"Emari Demercado","KC","76.8","425.9","1.7","16.3","119.0","0.8","1.7","66.2"
"Tank Bigsby","PHI","85.6","419.4","3.2","3.3","29.3","0.1","0.2","63.9"
"Mike Washington Jr.","LV","92.8","352.5","2.1","15.2","121.4","0.6","0.7","62.5"
"Malik Davis","DAL","81.8","382.7","2.8","8.7","67.3","0.2","0.1","62.4"
"Keaton Mitchell","LAC","85.2","395.4","1.9","11.5","82.7","0.2","0.7","59.2"
"Adam Randall","BAL","55.1","281.5","2.0","10.3","103.4","1.1","0.6","55.7"
"Chris Brooks","GB","72.7","323.2","1.3","15.4","107.6","0.3","0.6","51.5"
"Kimani Vidal","LAC","62.2","251.0","1.6","11.9","104.3","0.7","0.1","49.1"
"James Conner","ARI","42.5","155.0","1.5","18.0","131.0","1.0","0.0","43.6"
"Emanuel Wilson","SEA","69.7","289.5","1.7","7.7","52.1","0.0","0.5","43.5"
"Jaylen Wright","MIA","77.8","299.1","1.5","7.2","51.9","0.1","1.2","42.2"
"Jawhar Jordan","HOU","51.3","218.5","1.1","11.0","87.0","0.5","0.5","39.3"
